Team,Tournament,Score,PlayedGames,WonGames,DrawnGames,LostGames,BasketScored,BasketGiven,TournamentChampion,Runner-up,TeamLaunch,HighestPositionHeld
Team 1,86,4385.0,2762.0,1647.0,552.0,563.0,5947.0,3140.0,33.0,23.0,1929,1
Team 2,86,4262.0,2762.0,1581.0,573.0,608.0,5900.0,3114.0,25.0,25.0,1929,1
Team 3,80,3442.0,2614.0,1241.0,598.0,775.0,4534.0,3309.0,10.0,8.0,1929,1
Team 4,82,3386.0,2664.0,1187.0,616.0,861.0,4398.0,3469.0,6.0,6.0,1931,1
Team 5,86,3368.0,2762.0,1209.0,633.0,920.0,4631.0,3700.0,8.0,7.0,1929,1
Team 6,73,2819.0,2408.0,990.0,531.0,887.0,3680.0,3373.0,1.0,4.0,1934,1
Team 7,82,2792.0,2626.0,948.0,608.0,1070.0,3609.0,3889.0,0.0,0.0,1929,3
Team 8,70,2573.0,2302.0,864.0,577.0,861.0,3228.0,3230.0,2.0,3.0,1929,1
Team 9,58,2109.0,1986.0,698.0,522.0,766.0,2683.0,2847.0,0.0,1.0,1939,2
Team 10,51,1884.0,1728.0,606.0,440.0,682.0,2159.0,2492.0,1.0,0.0,1932,1
Team 11,45,1814.0,1530.0,563.0,392.0,575.0,2052.0,2188.0,1.0,5.0,1941,1
Team 12,51,1789.0,1698.0,586.0,389.0,723.0,2278.0,2624.0,0.0,0.0,1939,4
Team 13,42,1471.0,1466.0,463.0,384.0,619.0,1767.0,2180.0,0.0,0.0,1948,4
Team 14,44,1416.0,1428.0,453.0,336.0,639.0,1843.0,2368.0,0.0,1.0,1929,2
Team 15,43,1389.0,1458.0,471.0,358.0,629.0,1753.0,2152.0,0.0,1.0,1944,2
Team 16,37,1351.0,1318.0,426.0,327.0,565.0,1500.0,1834.0,0.0,0.0,1935,4
Team 17,36,1314.0,1255.0,390.0,330.0,535.0,1421.0,1763.0,0.0,0.0,1949,4
Team 18,38,1174.0,1192.0,408.0,292.0,492.0,1642.0,1951.0,0.0,0.0,1933,3
Team 19,27,1148.0,988.0,333.0,256.0,399.0,1182.0,1371.0,0.0,0.0,1960,3
